theme,url,img,lines,author
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20240304_monday_quote.jpg,We can find common ground only by moving to higher ground.,<Author:0x00007fee767d94e0>
DRIVE,/inspirational-quotes/8419-i-shall-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/8419/medium/20240301_friday_quote.jpg,"I shall either find a way, or make one.",<Author:0x00007fee7691be20>
DRIVE,/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20240229_thursday_quote.jpg,Act as if what you do makes a difference. It does. ,<Author:0x00007fee76834520>
DRIVE,/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://assets.passiton.com/quotes/quote_artwork/6356/medium/20240228_wednesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal. ,<Author:0x00007fee769ae928>
DRIVE,/inspirational-quotes/5801-do-the-one-thing-you-think-you-cannot-do-fail,https://assets.passiton.com/quotes/quote_artwork/5801/medium/20240227_tuesday_quote.jpg,Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time.,<Author:0x00007fee7697fd08>
DRIVE,/inspirational-quotes/8418-ive-always-believed-that-success-for-anyone-is,https://assets.passiton.com/quotes/quote_artwork/8418/medium/20240226_monday_quote.jpg,"I've always believed that success for anyone is all about drive, dedication, and desire, but for me, it's also been about confidence and faith.",<Author:0x00007fee7694d650>
LEADERSHIP,/inspirational-quotes/8417-leaders-are-like-gardeners-as-leaders-we-are,https://assets.passiton.com/quotes/quote_artwork/8417/medium/20240223_friday_quote.jpg,Leaders are like gardeners... As leaders we are not only responsible for harvesting our own success but for cultivating the success of the next generation.,<Author:0x00007fee769e58d8>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20240222_thursday_quote.jpg,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x00007fee769c4930>
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007fee76460e30>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007fee764c8da0>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007fee764aba70>
CHARITY,/inspirational-quotes/8399-as-we-work-to-create-light-for-others-we,https://assets.passiton.com/quotes/quote_artwork/8399/medium/20240403_wednesday_quote.jpg,"As we work to create light for others, we naturally light our own way.",<Author:0x00007fee765022a8>
CHARITY,/inspirational-quotes/8423-you-have-not-lived-today-until-you-have-done,https://assets.passiton.com/quotes/quote_artwork/8423/medium/20240402_tuesday_quote.jpg,You have not lived today until you have done something for someone who can never repay you.,<Author:0x00007fee764e8ba0>
CHARITY,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20240401_monday_quote.jpg,Those who are happiest are those who do the most for others.,<Author:0x00007fee764d0870>
