id, value
Talend_Studio_8.Big Data.Sqoop.tSqoopExport,96
Talend_Studio_8.Big Data.Sqoop.tSqoopImport,97
Talend_Studio_8.Big Data.Sqoop.tSqoopImportAllTables,98
Talend_Studio_8.Big Data.Sqoop.tSqoopMerge,99
Talend_Studio_8.Business,
Talend_Studio_8.Business.tBonitaDeploy,101
Talend_Studio_8.Business.tBonitaInstantiateProcess,102
Talend_Studio_8.Business.tJIRAInput,103
Talend_Studio_8.Business.tJIRAOutput,104
Talend_Studio_8.Business.LDAP,
Talend_Studio_8.Business.LDAP.tLDAPAttributesInput,105
Talend_Studio_8.Business.LDAP.tLDAPClose,106
Talend_Studio_8.Business.LDAP.tLDAPConnection,107
Talend_Studio_8.Business.LDAP.tLDAPInput,108
Talend_Studio_8.Business.LDAP.tLDAPOutput,109
Talend_Studio_8.Business.LDAP.tLDAPRenameEntry,110
Talend_Studio_8.Business.Marketo,
Talend_Studio_8.Business.Marketo.tMarketoBulkExec,111
Talend_Studio_8.Business.Marketo.tMarketoCampaign,112
Talend_Studio_8.Business.Marketo.tMarketoConnection,113
Talend_Studio_8.Business.Marketo.tMarketoInput,114
Talend_Studio_8.Business.Marketo.tMarketoListOperation,115
Talend_Studio_8.Business.Marketo.tMarketoOutput,116
Talend_Studio_8.Business.Microsoft,
Talend_Studio_8.Business.Microsoft.tMicrosoftCrmInput,117
Talend_Studio_8.Business.Microsoft.tMicrosoftCrmOutput,118
Talend_Studio_8.Business.Netsuite,
Talend_Studio_8.Business.Netsuite.tNetsuiteConnection,119
Talend_Studio_8.Business.Netsuite.tNetsuiteInput,120
Talend_Studio_8.Business.Netsuite.tNetsuiteOutput,121
Talend_Studio_8.Business.tNetSuiteV2019Connection,122
Talend_Studio_8.Business.tNetSuiteV2019Input,123
Talend_Studio_8.Business.tNetSuiteV2019Output,124
Talend_Studio_8.Business.Salesforce,
Talend_Studio_8.Business.Salesforce.tSalesforceBulkExec,125
Talend_Studio_8.Business.Salesforce.tSalesforceConnection,126
Talend_Studio_8.Business.Salesforce.tSalesforceEinsteinBulkExec,127
Talend_Studio_8.Business.Salesforce.tSalesforceEinsteinOutputBulkExec,128
Talend_Studio_8.Business.Salesforce.tSalesforceGetDeleted,129
Talend_Studio_8.Business.Salesforce.tSalesforceGetServerTimestamp,130
Talend_Studio_8.Business.Salesforce.tSalesforceGetUpdated,131
Talend_Studio_8.Business.Salesforce.tSalesforceInput,132
Talend_Studio_8.Business.Salesforce.tSalesforceOutput,133
Talend_Studio_8.Business.Salesforce.tSalesforceOutputBulk,134
Talend_Studio_8.Business.Salesforce.tSalesforceOutputBulkExec,135
Talend_Studio_8.Business.SAP,
Talend_Studio_8.Business.SAP.tSAPADSOInput,136
Talend_Studio_8.Business.SAP.tSAPBapi,137
Talend_Studio_8.Business.SAP.tSAPCommit,138
Talend_Studio_8.Business.SAP.tSAPConnection,139
Talend_Studio_8.Business.SAP.tSAPDataSourceOutput,140
Talend_Studio_8.Business.SAP.tSAPDataSourceReceiver,141
Talend_Studio_8.Business.SAP.tSAPDSOInput,142
Talend_Studio_8.Business.SAP.tSAPDSOOutput,143
Talend_Studio_8.Business.SAP.tSAPIDocInput,144
Talend_Studio_8.Business.SAP.tSAPIDocOutput,145
Talend_Studio_8.Business.SAP.tSAPIDocReceiver,146
Talend_Studio_8.Business.SAP.tSAPInfoCubeInput,147
Talend_Studio_8.Business.SAP.tSAPInfoObjectInput,148
Talend_Studio_8.Business.SAP.tSAPInfoObjectOutput,149
Talend_Studio_8.Business.SAP.tSAPODPInput,150
Talend_Studio_8.Business.SAP.tSAPRollback,151
Talend_Studio_8.Business.SAP.tSAPTableInput,152
Talend_Studio_8.Business.ServiceNow,
Talend_Studio_8.Business.ServiceNow.tServiceNowConnection,153
Talend_Studio_8.Business.ServiceNow.tServiceNowInput,154
Talend_Studio_8.Business.ServiceNow.tServiceNowOutput,155
Talend_Studio_8.Business.tWorkdayInput,156
Talend_Studio_8.Business Intelligence,
Talend_Studio_8.Business Intelligence.Splunk,
Talend_Studio_8.Business Intelligence.Splunk.tSplunkEventCollector,158
Talend_Studio_8.Business_Intelligence,
Talend_Studio_8.Business_Intelligence.tBarChart,160
Talend_Studio_8.Business_Intelligence.DB2,
Talend_Studio_8.Business_Intelligence.DB2.tDB2SCD,161
Talend_Studio_8.Business_Intelligence.DB2.tDB2SCDELT,162
Talend_Studio_8.Business_Intelligence.Greenplum,
Talend_Studio_8.Business_Intelligence.Greenplum.tGreenplumSCD,163
Talend_Studio_8.Business_Intelligence.Informix,
